timestamp,stateEstimate.x,stateEstimate.y,stateEstimate.z,stateEstimate.vx,stateEstimate.vy,stateEstimate.vz,stateEstimate.ax,stateEstimate.ay,stateEstimate.az,stateEstimate.roll,stateEstimate.pitch,stateEstimate.yaw,stateEstimateZ.rateRoll,stateEstimateZ.ratePitch,stateEstimateZ.rateYaw,stabilizer.thrust,motor.m1,motor.m2,motor.m3,motor.m4
36948.464,-0.9594243168830872,0.15668220818042755,1.022481083869934,0.2541012763977051,0.4552147686481476,-0.000457031128462404,0.038369059562683105,-0.03432317450642586,-0.005894601345062256,1.2731027603149414,-3.887218475341797,-0.6846463084220886,55,56,8,44890.22265625,50130,44818,49942,43983
36958.342,-0.9569964408874512,0.16089197993278503,1.0224640369415283,0.2595497965812683,0.45123520493507385,-0.0013319243444129825,0.03702608868479729,-0.03159390017390251,-0.01798301935195923,1.3133642673492432,-3.8419687747955322,-0.682799220085144,66,103,9,44910.12109375,50075,45947,50026,42783
36968.207,-0.9544991850852966,0.165153369307518,1.0224298238754272,0.26489850878715515,0.44743654131889343,-0.0030783680267632008,0.036262545734643936,-0.014063283801078796,-0.01966768503189087,1.3537728786468506,-3.781714677810669,-0.6803289651870728,89,93,14,44952.92578125,50129,45885,50058,42859
36978.092,-0.9519897103309631,0.16932320594787598,1.0223790407180786,0.26999974250793457,0.4434175193309784,-0.005095007363706827,0.04111165553331375,-0.02356545440852642,-0.008927106857299805,1.4050967693328857,-3.7242910861968994,-0.6736682653427124,70,76,15,45003.62109375,49995,46117,50260,42652
36987.964,-0.9493457674980164,0.17347028851509094,1.0223393440246582,0.27524620294570923,0.43935951590538025,-0.006247647572308779,0.0575086772441864,-0.025465166196227074,-0.0309140682220459,1.4487755298614502,-3.6749072074890137,-0.6663898825645447,97,81,13,45032.3359375,50474,46245,49945,42709
36997.84,-0.946735143661499,0.17758259177207947,1.0223078727722168,0.28008535504341125,0.435291588306427,-0.008735648356378078,0.054664116352796555,-0.027274487540125847,-0.03123408555984497,1.5026860237121582,-3.6225550174713135,-0.6595760583877563,83,87,14,45094.390625,49818,45989,50674,43072
37007.713,-0.9440073370933533,0.18169888854026794,1.022266149520874,0.2850322425365448,0.43126264214515686,-0.011532371863722801,0.043447185307741165,-0.01837611012160778,-0.025177299976348877,1.557309865951538,-3.5666346549987793,-0.6529422998428345,87,117,13,45165.09765625,50461,46575,50113,42513
37017.582,-0.9413327574729919,0.18570689857006073,1.0222129821777344,0.2895294427871704,0.4269905984401703,-0.01387785840779543,0.05106549710035324,-0.018175167962908745,-0.012308895587921143,1.6081098318099976,-3.4950644969940186,-0.6473905444145203,60,83,9,45225.45703125,49792,45675,50655,43518
37027.463,-0.9385142922401428,0.18963387608528137,1.0221692323684692,0.29432815313339233,0.4225147068500519,-0.014860475435853004,0.04700486361980438,-0.027661960572004318,-0.012373089790344238,1.650119662284851,-3.439598560333252,-0.6406751275062561,53,53,7,45251.41796875,50336,45503,50295,43890
37037.343,-0.9357414841651917,0.19359804689884186,1.0221329927444458,0.29876086115837097,0.4182291030883789,-0.015622326172888279,0.04299400746822357,-0.02057306282222271,-0.007774233818054199,1.6873494386672974,-3.3941738605499268,-0.6364972591400146,73,72,15,45271.6015625,50263,46049,50446,43244
37047.207,-0.9328993558883667,0.19749507308006287,1.0220990180969238,0.30314314365386963,0.41377976536750793,-0.016150521114468575,0.03432247415184975,-0.031160349026322365,-0.015778660774230957,1.731162190437317,-3.346315622329712,-0.6312811970710754,89,56,15,45285.90625,50384,46451,50344,42804
37057.083,-0.9299206137657166,0.2013210654258728,1.022056221961975,0.3077109754085541,0.40919339656829834,-0.0172107070684433,0.048878252506256104,-0.030389895662665367,-0.01077193021774292,1.7845035791397095,-3.3079943656921387,-0.624193549156189,83,47,16,45314.109375,50472,46314,50300,42984
